"","x"
"ahpC",9609
"ahpF",1634
"uspG",602
"ybdR",93
"rnk",173
"rna",367
"citT",35
"citG",12
"citX",8
"citF",15
"citE",21
"citD",3
"citC",15
"citA",128
"citB",97
"dcuC",135
"pagP",27
"cspE",3003
"flc",68
"ybeM",114
"tatE",380
"lipA",822
"ybeF",57
"lipB",289
"ybeD",394
"dacA",1146
"rlpA",1196
"mrdB",226
"mrdA",424
"rlmH",257
"rsfS",199
"cobC",114
"nadD",235
"holA",494
"lptE",845
"leuS",3974
"ybeL",436
"ybeQ",82
"ybeR",8
"djlB",23
"ybeT",6
"ybeU",26
"djlC",50
"hscC",51
"rihA",143
"gltL",223
"gltK",141
"gltJ",223
"gltI",1482
"lnt",685
"ybeX",1843
"ybeY",442
"ybeZ",1323
"miaB",682
"ubiF",578
"glnX",101
"glnV",200
"metU",109
"glnW",216
"glnU",326
"leuW",154
"metT",9
"asnB",1564
"umpH",575
"nagC",926
"nagA",517
"nagB",368
"nagE",820
"glnS",2640
"chiP",37
"chiQ",16
"fur",1409
"uof",98
"fldA",796
"ybfE",44
"ybfF",168
"seqA",747
"pgm",2740
"ybfP",27
"ybfG",12
"ybfI",6
"potE",67
"speF",35
"ybfK",7
"kdpE",84
"kdpD",360
"kdpC",21
"kdpB",61
"kdpA",20
"kdpF",2
"ybfA",241
"rhsC",130
"ybfB",8
"rhsO",24
"ybfC",28
"ybfQ",3
"ybfL",13
"ybfD",13
"ybgA",74
"phr",156
"dtpD",177
"ybgI",1002
"ybgJ",878
"ybgK",1002
"ybgL",518
"nei",213
"abrB",110
"ybgO",53
"ybgP",13
"ybgQ",50
"ybgD",6
"gltA",4457
"sdhC",144
"sdhD",111
"sdhA",753
"sdhB",342
"sucA",4906
"sucB",3283
"sucC",2714
"sucD",2509
"mngR",76
"mngA",21
"mngB",166
"cydA",7323
"cydB",4272
"cydX",378
"ybgE",555
"ybgC",174
"tolQ",541
"tolR",212
"tolA",536
"tolB",3113
"pal",5457
"ybgF",2290
"lysT",274
"valT",634
"lysW",267
"valZ",274
"lysY",120
"lysZ",129
"lysQ",15
"nadA",719
"pnuC",534
"zitB",220
"ybgS",118
"aroG",4070
"gpmA",13713
"galM",1652
"galK",388
"galT",323
"galE",307
"modF",1015
"modE",247
"acrZ",86
"modA",265
"modB",234
"modC",378
"ybhA",221
"pgl",1174
"ybhD",34
"ybhH",15
"ybhI",11
"ybhJ",68
"ybhC",1083
"ybhB",292
"bioA",374
"bioB",432
"bioF",322
"bioC",164
"bioD",189
"uvrB",855
"ybhK",226
"moaA",467
"moaB",414
"moaC",402
"moaD",114
"moaE",330
"ybhL",576
"ybhM",33
"ybhN",59
"clsB",161
"ybhP",102
"ybhQ",56
"ybhR",172
"ybhS",193
"ybhF",698
"ybhG",602
"ybiH",180
"rhlE",315
"ybiA",18
"dinG",154
"ybiB",695
"ybiC",2009
"ybiJ",148
"ybiI",220
"ybiX",1134
"fiu",7127
"mcbA",29
"rlmF",257
"ybiO",156
"glnQ",709
"glnP",699
"glnH",1937
"dps",3698
"rhtA",57
"ompX",8388
"opgE",87
"mntS",104
"mntR",180
"ybiR",151
"ldtB",1313
"ybiT",957
"ybiU",103
"ybiV",179
"ybiW",68
"ybiY",17
"fsaA",79
"moeB",300
"moeA",637
"iaaA",1888
"gsiA",2322
"gsiB",1670
"gsiC",484
"gsiD",359
"yliE",262
"yliF",127
"rimO",404
"bssR",1367
"yliI",159
"gstB",787
"dacC",776
"deoR",330
"ybjG",191
"mdfA",129
"ybjH",58
"ybjI",234
"ybjJ",133
"rcdA",25
"rybB",12
"ybjL",487
"ybjM",78
"grxA",50
"ybjC",57
"nfsA",638
"rimK",462
"ybjN",307
"potF",803
"potG",378
"potH",174
"potI",168
"ybjO",67
"rlmC",176
"artJ",1562
"artM",296
"artQ",409
"artI",1103
"artP",504
"ybjP",551
"ybjQ",184
"amiD",426
"ybjS",342
"ybjT",627
"ltaE",787
"poxB",1213
"hcr",128
"hcp",32
"ybjE",173
"aqpZ",60
"ybjD",490
"ybjX",1177
"macA",345
"macB",425
"cspD",1035
"clpS",390
"clpA",8084
"serW",2
"infA",700
"aat",332
"cydC",665
"cydD",653
"trxB",1894
"lrp",2551
"ftsK",2389
"lolA",538
"rarA",469
"serS",3870
"dmsA",224
"dmsB",52
"dmsC",104
"ycaC",287
"ycaD",284
"ycaM",39
"ycaN",74
"ycaK",37
"pflA",286
"pflB",37384
"focA",1898
"ycaO",457
"ycaP",80
"serC",9008
"aroA",3337
"ycaL",55
"cmk",441
"rpsA",24442
"ihfB",2230
"ycaI",88
"msbA",762
"lpxK",277
"ycaQ",93
"ycaR",50
"kdsB",889
"ycbJ",273
"elyC",118
"smtA",309
"mukF",657
"mukE",475
"mukB",2856
"ldtD",737
"ycbK",1075
"ycbL",1326
"aspC",5088
"ompF",10813
"asnS",4464
"pncB",2043
"pepN",3117
"ssuB",85
"ssuC",14
"ssuD",22
"ssuA",26
"ssuE",33
"elfA",17
"elfD",22
"elfC",72
"elfG",71
"ycbU",17
"ycbV",21
"ycbF",62
"pyrD",462
"zapC",358
"ycbX",456
"rlmL",717
"uup",670
"pqiA",146
"pqiB",294
"pqiC",116
"rmf",4417
"fabA",1182
"ycbZ",645
"matP",145
"ompA",63783
"sulA",113
"sxy",94
"yccS",420
"yccF",96
"helD",835
"mgsA",569
"yccT",33
"yccU",288
"hspQ",682
"rlmI",407
"yccX",67
"tusE",113
"yccA",2260
"serT",2
"hyaA",84
"hyaB",116
"hyaC",33
"hyaD",33
"hyaE",16
"hyaF",36
"cbdA",184
"cbdB",108
"cbdX",16
"appA",198
"etk",189
"etp",21
"gfcE",47
"gfcD",72
"gfcC",15
"gfcB",13
"gfcA",30
"cspH",8
"cspG",67
"ymcE",2
"gnsA",59
"yccM",63
"torS",114
"torT",50
"torR",94
"torC",15
"torA",70
"torD",57
"cbpM",291
"cbpA",783
"yccE",24
"agp",337
"yccJ",1076
"wrbA",2054
"ymdF",36
"rutG",66
"rutF",13
"rutE",14
"rutD",15
"rutC",10
"rutB",9
"rutA",14
"rutR",77
"putA",1897
"putP",667
"efeU",624
"efeO",1524
"efeB",864
"phoH",296
"pgaD",39
"pgaC",34
"pgaB",48
"pgaA",75
"ycdT",133
"ymdE",8
"ycdU",26
"serX",2
"ghrA",840
"ycdX",816
"ycdY",616
"ycdZ",175
"csgG",353
"csgF",159
"csgE",215
"csgD",478
"csgB",6
"csgA",63
"csgC",15
"ymdA",61
"ymdB",141
"clsC",262
"opgC",127
"opgG",2060
"opgH",2031
"yceK",447
"msyB",470
"mdtG",81
"lpxL",244
"yceA",418
"yceI",237
"yceJ",36
"yceO",9
"solA",841
"bssS",164
"dinI",170
"pyrC",1720
"yceB",255
"grxB",716
"mdtH",95
"rimJ",386
"yceH",564
"yceM",515
