"","x"
"pflB",9700
"focA",388
"ycaO",355
"ycaP",25
"serC",5378
"aroA",1850
"ycaL",26
"cmk",345
"rpsA",18324
"ihfB",955
"ycaI",43
"msbA",463
"lpxK",164
"ycaQ",60
"ycaR",47
"kdsB",471
"ycbJ",86
"elyC",41
"smtA",194
"mukF",368
"mukE",264
"mukB",1782
"ldtD",474
"ycbK",479
"ycbL",639
"aspC",3530
"ompF",36110
"asnS",1994
"pncB",1074
"pepN",1781
"ssuB",41
"ssuC",15
"ssuD",26
"ssuA",7
"ssuE",12
"elfA",4
"elfD",0
"elfC",21
"elfG",16
"ycbU",9
"ycbV",7
"ycbF",30
"pyrD",370
"zapC",201
"ycbX",258
"rlmL",420
"uup",469
"pqiA",79
"pqiB",134
"pqiC",46
"rmf",1053
"fabA",786
"ycbZ",445
"matP",54
"ompA",49911
"sulA",79
"sxy",41
"yccS",237
"yccF",49
"helD",447
"mgsA",269
"yccT",11
"yccU",172
"hspQ",199
"rlmI",235
"yccX",33
"tusE",39
"yccA",1044
"serT",3
"hyaA",9
"hyaB",4
"hyaC",7
"hyaD",12
"hyaE",6
"hyaF",18
"cbdA",37
"cbdB",21
"cbdX",7
"appA",39
"etk",61
"etp",7
"gfcE",16
"gfcD",28
"gfcC",7
"gfcB",3
"gfcA",11
"cspH",4
"cspG",196
"ymcE",5
"gnsA",45
"yccM",24
"torS",57
"torT",20
"torR",34
"torC",2
"torA",27
"torD",24
"cbpM",73
"cbpA",215
"yccE",1
"agp",124
"yccJ",180
"wrbA",358
"ymdF",15
"rutG",22
"rutF",10
"rutE",9
"rutD",3
"rutC",4
"rutB",5
"rutA",7
"rutR",43
"putA",350
"putP",629
"efeU",426
"efeO",982
"efeB",611
"phoH",742
"pgaD",50
"pgaC",3
"pgaB",9
"pgaA",17
"ycdT",55
"ymdE",0
"ycdU",1
"serX",0
"ghrA",458
"ycdX",450
"ycdY",341
"ycdZ",107
"csgG",67
"csgF",36
"csgE",41
"csgD",98
"csgB",3
"csgA",13
"csgC",7
"ymdA",99
"ymdB",127
"clsC",124
"opgC",57
"opgG",1085
"opgH",1140
"yceK",97
"msyB",122
"mdtG",25
"lpxL",84
"yceA",231
"yceI",167
"yceJ",11
"yceO",6
"solA",386
"bssS",88
"dinI",173
"pyrC",1608
"yceB",88
"grxB",260
"mdtH",42
"rimJ",228
"yceH",307
"yceM",279
"murJ",189
"flgN",778
"flgM",402
"flgA",539
"flgB",882
"flgC",1049
"flgD",2298
"flgE",4275
"flgF",1860
"flgG",1809
"flgH",677
"flgI",595
"flgJ",438
"flgK",3499
"flgL",3144
"rne",3067
"yceQ",142
"rluC",203
"yceF",174
"psrD",60
"yceD",2420
"rpmF",2545
"plsX",1095
"fabH",1014
"fabD",1305
"fabG",2302
"acpP",4358
"fabF",2245
"pabC",70
"yceG",99
"tmk",113
"holB",128
"ycfH",172
"ptsG",5765
"fhuE",2331
"hinT",206
"ycfL",200
"lpoB",350
"thiK",126
"nagZ",274
"ycfP",272
"ndh",592
"ycfJ",54
"ycfQ",303
"bhsA",13
"ldtC",41
"mfd",876
"ycfT",19
"lolC",228
"lolD",121
"lolE",237
"nagK",306
"cobB",234
"ycfZ",9
"ymfA",18
"potD",1131
"potC",123
"potB",204
"potA",309
"pepT",425
"roxA",591
"phoQ",410
"phoP",402
"purB",1058
"hflD",286
"mnmA",472
"nudJ",62
"rluE",53
"icd",16877
"ymfD",7
"ymfE",10
"lit",31
"intE",16
"xisE",1
"ymfI",51
"ymfJ",12
"cohE",100
"croE",3
"ymfL",7
"ymfM",4
"oweE",1
"aaaE",10
"ymfR",3
"beeE",5
"jayE",5
"ymfQ",4
"stfP",6
"tfaP",5
"tfaE",6
"stfE",2
"pinE",3
"mcrA",29
"icdC",4
"iraM",5
"ycgX",6
"bluR",219
"bluF",127
"ycgZ",4
"ymgA",2
"ariR",1
"ymgC",2
"ycgG",6
"ymgF",0
"ycgH",34
"ymgD",21
"ymgG",24
"ymgI",0
"ymgJ",2
"ycgI",4
"minE",357
"minD",979
"minC",549
"ycgJ",61
"pliG",452
"ycgL",118
"ycgM",223
"ycgN",95
"hlyE",5
"umuD",10
"umuC",35
"dsbB",274
"nhaB",416
"fadR",217
"ycgB",208
"dadA",214
"dadX",147
"cvrA",312
"ldcA",95
"emtA",292
"ycgR",1059
"ymgE",19
"ycgY",4
"treA",23
"dhaM",746
"dhaL",312
"dhaK",592
"dhaR",96
"ycgV",84
