"","x"
"efeU",622
"efeO",1625
"efeB",959
"phoH",377
"pgaD",33
"pgaC",24
"pgaB",31
"pgaA",50
"ycdT",89
"ymdE",1
"ycdU",5
"serX",0
"ghrA",701
"ycdX",781
"ycdY",695
"ycdZ",237
"csgG",218
"csgF",113
"csgE",93
"csgD",265
"csgB",5
"csgA",47
"csgC",8
"ymdA",188
"ymdB",239
"clsC",222
"opgC",94
"opgG",2013
"opgH",2139
"yceK",271
"msyB",309
"mdtG",60
"lpxL",192
"yceA",280
"yceI",152
"yceJ",17
"yceO",16
"solA",824
"bssS",173
"dinI",282
"pyrC",2110
"yceB",212
"grxB",445
"mdtH",79
"rimJ",327
"yceH",538
"yceM",488
"murJ",317
"flgN",1039
"flgM",561
"flgA",845
"flgB",1274
"flgC",1720
"flgD",3648
"flgE",6904
"flgF",2769
"flgG",2749
"flgH",1072
"flgI",933
"flgJ",642
"flgK",3785
"flgL",3630
"rne",5150
"yceQ",186
"rluC",354
"yceF",396
"psrD",45
"yceD",4234
"rpmF",4626
"plsX",2293
"fabH",2105
"fabD",2384
"fabG",4117
"acpP",7523
"fabF",4621
"pabC",139
"yceG",159
"tmk",275
"holB",305
"ycfH",374
"ptsG",11079
"fhuE",2269
"hinT",428
"ycfL",467
"lpoB",756
"thiK",286
"nagZ",558
"ycfP",924
"ndh",1257
"ycfJ",87
"ycfQ",407
"bhsA",27
"ldtC",85
"mfd",1738
"ycfT",14
"lolC",377
"lolD",287
"lolE",543
"nagK",601
"cobB",509
"ycfZ",27
"ymfA",36
"potD",2451
"potC",345
"potB",505
"potA",725
"pepT",1225
"roxA",1002
"phoQ",737
"phoP",772
"purB",2196
"hflD",608
"mnmA",1093
"nudJ",119
"rluE",91
"icd",23570
"ymfD",19
"ymfE",20
"lit",55
"intE",64
"xisE",5
"ymfI",71
"ymfJ",39
"cohE",248
"croE",5
"ymfL",11
"ymfM",5
"oweE",4
"aaaE",30
"ymfR",6
"beeE",6
"jayE",15
"ymfQ",0
"stfP",3
"tfaP",6
"tfaE",9
"stfE",2
"pinE",1
"mcrA",63
"icdC",8
"iraM",3
"ycgX",22
"bluR",318
"bluF",104
"ycgZ",13
"ymgA",14
"ariR",13
"ymgC",1
"ycgG",16
"ymgF",0
"ycgH",70
"ymgD",46
"ymgG",47
"ymgI",2
"ymgJ",3
"ycgI",10
"minE",656
"minD",1689
"minC",923
"ycgJ",120
"pliG",133
"ycgL",211
"ycgM",442
"ycgN",164
"hlyE",32
"umuD",12
"umuC",52
"dsbB",386
"nhaB",853
"fadR",359
"ycgB",338
"dadA",477
"dadX",383
"cvrA",460
"ldcA",266
"emtA",457
"ycgR",1286
"ymgE",29
"ycgY",13
"treA",87
"dhaM",1275
"dhaL",585
"dhaK",1092
"dhaR",170
"ycgV",136
"ychF",1130
"pth",198
"ychH",248
"dauA",192
"prs",4634
"ispE",621
"lolB",394
"hemA",704
"prfA",528
"prmC",199
"ychQ",37
"ychA",638
"kdsA",1376
"ldrA",0
"rdlA",43
"ldrB",1
"rdlB",0
"ldrC",0
"rdlC",1
"chaA",371
"chaB",27
"chaC",212
"ychN",292
"ychO",158
"narL",422
"narX",254
"narK",123
"narG",732
"narH",349
"narJ",135
"narI",132
"rttR",8
"tpr",0
"tyrV",70
"tyrT",62
"purU",1512
"ychJ",188
"rssA",433
"rssB",331
"galU",1251
"hns",1838
"tdk",181
"insZ",67
"adhE",43351
"ychE",65
"oppA",39043
"oppB",4349
"oppC",3007
