"","x"
"ltaE",231
"poxB",159
"hcr",8
"hcp",8
"ybjE",66
"aqpZ",21
"ybjD",209
"ybjX",415
"macA",129
"macB",154
"cspD",241
"clpS",126
"clpA",2846
"serW",10
"infA",653
"aat",150
"cydC",296
"cydD",282
"trxB",967
"lrp",1247
"ftsK",1151
"lolA",293
"rarA",284
"serS",1421
"dmsA",47
"dmsB",11
"dmsC",19
"ycaC",20
"ycaD",92
"ycaM",12
"ycaN",9
"ycaK",13
"pflA",133
"pflB",4997
"focA",182
"ycaO",487
"ycaP",20
"serC",3763
"aroA",1765
"ycaL",28
"cmk",348
"rpsA",17986
"ihfB",611
"ycaI",34
"msbA",568
"lpxK",201
"ycaQ",72
"ycaR",40
"kdsB",455
"ycbJ",56
"elyC",25
"smtA",144
"mukF",348
"mukE",231
"mukB",1603
"ldtD",285
"ycbK",467
"ycbL",634
"aspC",2694
"ompF",10531
"asnS",2398
"pncB",963
"pepN",1267
"ssuB",40
"ssuC",13
"ssuD",13
"ssuA",12
"ssuE",9
"elfA",3
"elfD",5
"elfC",40
"elfG",19
"ycbU",0
"ycbV",9
"ycbF",36
"pyrD",323
"zapC",125
"ycbX",186
"rlmL",442
"uup",411
"pqiA",93
"pqiB",165
"pqiC",55
"rmf",446
"fabA",698
"ycbZ",417
"matP",48
"ompA",25758
"sulA",54
"sxy",41
"yccS",210
"yccF",35
"helD",336
"mgsA",230
"yccT",5
"yccU",108
"hspQ",231
"rlmI",289
"yccX",27
"tusE",53
"yccA",716
"serT",3
"hyaA",9
"hyaB",14
"hyaC",3
"hyaD",5
"hyaE",9
"hyaF",18
"cbdA",20
"cbdB",18
"cbdX",4
"appA",33
"etk",61
"etp",6
"gfcE",12
"gfcD",10
"gfcC",10
"gfcB",2
"gfcA",17
"cspH",6
"cspG",562
"ymcE",24
"gnsA",22
"yccM",23
"torS",42
"torT",12
"torR",32
"torC",1
"torA",21
"torD",28
"cbpM",59
"cbpA",132
"yccE",4
"agp",66
"yccJ",68
"wrbA",95
"ymdF",15
"rutG",29
"rutF",7
"rutE",7
"rutD",1
"rutC",3
"rutB",4
"rutA",1
"rutR",37
"putA",328
"putP",425
"efeU",377
"efeO",669
"efeB",450
"phoH",141
"pgaD",12
"pgaC",6
"pgaB",5
"pgaA",30
"ycdT",38
"ymdE",1
"ycdU",4
"serX",1
"ghrA",317
"ycdX",313
"ycdY",284
"ycdZ",158
"csgG",44
"csgF",11
"csgE",11
"csgD",26
"csgB",0
"csgA",12
"csgC",6
"ymdA",117
"ymdB",115
"clsC",82
"opgC",84
"opgG",869
"opgH",1216
"yceK",49
"msyB",41
"mdtG",58
"lpxL",106
"yceA",228
"yceI",130
"yceJ",4
"yceO",5
"solA",291
"bssS",70
"dinI",164
"pyrC",1131
"yceB",67
"grxB",148
"mdtH",30
"rimJ",119
"yceH",176
"yceM",175
"murJ",225
"flgN",567
"flgM",306
"flgA",602
"flgB",769
"flgC",971
"flgD",2575
"flgE",4614
"flgF",2108
"flgG",2042
"flgH",905
"flgI",759
"flgJ",603
"flgK",2602
"flgL",1938
"rne",2392
"yceQ",121
"rluC",238
"yceF",149
"psrD",35
"yceD",2570
"rpmF",2499
"plsX",1278
"fabH",994
"fabD",1013
"fabG",1912
"acpP",3936
"fabF",2213
"pabC",68
"yceG",83
"tmk",103
"holB",148
"ycfH",174
"ptsG",5536
"fhuE",443
"hinT",128
"ycfL",153
"lpoB",220
"thiK",115
"nagZ",265
"ycfP",228
"ndh",256
"ycfJ",42
"ycfQ",135
"bhsA",9
"ldtC",47
"mfd",869
"ycfT",3
"lolC",363
"lolD",161
"lolE",321
"nagK",317
"cobB",228
"ycfZ",19
"ymfA",10
"potD",670
"potC",140
"potB",220
"potA",373
"pepT",203
"roxA",508
"phoQ",356
"phoP",243
"purB",1393
"hflD",367
"mnmA",617
"nudJ",69
"rluE",71
"icd",11209
"ymfD",10
"ymfE",14
"lit",19
"intE",16
"xisE",0
"ymfI",30
"ymfJ",16
"cohE",71
"croE",3
"ymfL",6
"ymfM",4
"oweE",3
"aaaE",6
"ymfR",2
"beeE",4
"jayE",2
"ymfQ",2
"stfP",1
"tfaP",0
"tfaE",3
"stfE",4
"pinE",3
"mcrA",16
"icdC",3
"iraM",4
"ycgX",11
"bluR",136
"bluF",181
"ycgZ",7
"ymgA",4
"ariR",6
"ymgC",3
"ycgG",12
"ymgF",2
"ycgH",27
"ymgD",12
"ymgG",2
"ymgI",0
"ymgJ",2
"ycgI",4
"minE",248
"minD",650
"minC",418
"ycgJ",28
"pliG",26
"ycgL",45
"ycgM",127
"ycgN",62
"hlyE",7
"umuD",4
"umuC",25
"dsbB",239
"nhaB",420
"fadR",253
"ycgB",91
"dadA",157
"dadX",109
"cvrA",285
"ldcA",67
"emtA",179
"ycgR",503
"ymgE",1
"ycgY",3
"treA",18
"dhaM",693
"dhaL",300
"dhaK",537
"dhaR",79
"ycgV",67
"ychF",580
"pth",74
"ychH",56
"dauA",98
"prs",2371
"ispE",298
"lolB",172
"hemA",290
"prfA",234
"prmC",96
"ychQ",15
"ychA",291
"kdsA",600
"ldrA",0
"rdlA",18
"ldrB",3
"rdlB",0
"ldrC",0
"rdlC",7
"chaA",148
"chaB",9
"chaC",86
"ychN",116
"ychO",90
"narL",134
"narX",95
"narK",21
"narG",62
"narH",31
"narJ",15
"narI",3
"rttR",9
"tpr",0
"tyrV",52
"tyrT",33
"purU",571
"ychJ",150
"rssA",179
"rssB",105
"galU",428
"hns",1794
"tdk",60
"insZ",24
"adhE",3019
"ychE",19
"oppA",12520
"oppB",1513
"oppC",1151
"oppD",1599
"oppF",1756
"yciU",160
"clsA",352
"yciY",51
"kch",59
"yciI",128
"tonB",485
"yciA",46
"yciB",140
"yciC",127
"ompW",147
"yciE",12
"yciF",2
"yciG",7
"trpA",1093
"trpB",1455
"trpC",933
"trpD",1068
"trpE",732
"trpL",6
"yciV",123
"yciO",123
"yciQ",75
"rluB",411
"btuR",100
"yciK",119
"sohB",363
"yciN",54
"topA",1455
"cysB",305
"ymiA",2
"yciX",16
"acnA",717
"ribA",229
"pgpB",85
"yciS",98
"yciM",215
"pyrF",200
"yciH",127
"osmB",14
"yciT",186
"yciZ",19
"gmr",76
"ymiB",3
"rnb",1868
"yciW",273
"fabI",1857
"ycjD",13
"sapF",74
"sapD",129
"sapC",64
"sapB",78
"sapA",171
"ymjA",24
"puuP",27
"puuA",92
"puuD",25
"puuR",48
"puuC",43
"puuB",21
"puuE",24
"pspF",24
"pspA",122
"pspB",16
"pspC",22
"pspD",13
"pspE",76
"ycjM",10
"ycjN",4
"ycjO",1
"ycjP",3
"ycjQ",10
"ycjR",3
"ycjS",10
"ycjT",15
"ycjU",3
"ycjV",0
"ompG",5
"ycjW",24
"ycjX",108
"ycjF",70
"tyrR",315
"tpx",1942
"ycjG",82
"mpaA",97
"ymjC",2
"ymjD",0
"ycjY",4
"pgrR",27
"mppA",138
"ynaI",48
"ynaJ",180
"uspE",511
"fnr",1078
"ogt",49
"abgT",16
"abgB",26
"abgA",16
"abgR",37
"mcaS",3
"smrA",39
"ydaM",67
"ydaN",72
"fnrS",15
"dbpA",117
"ttcA",231
"intR",32
"ydaQ",1
"ydaC",0
"ralA",0
"ralR",0
"recT",11
"recE",31
"racC",0
"ydaE",1
"kilR",0
"sieB",6
"ydaF",2
"ydaG",4
"racR",126
"ydaS",3
"ydaT",1
"ydaU",7
"ydaV",8
"ydaW",6
"rzpR",2
"rzoR",0
"trkG",59
"ynaK",3
"ydaY",10
"tmpR",6
"lomR",10
"stfR",16
"tfaR",2
"pinR",0
"ynaE",6
"ttcC",3
"uspF",64
"ompN",3
"micC",0
"pfo",522
"ydbJ",32
"hslJ",78
"ldhA",120
"ydbH",111
"ynbE",6
"ydbL",42
"feaR",29
"feaB",73
"tynA",22
"paaZ",5
"paaA",0
"paaB",0
"paaC",4
"paaD",5
"paaE",6
"paaF",6
"paaG",4
"paaH",18
"paaI",2
"paaJ",37
"paaK",38
"paaX",47
"paaY",52
"ynbG",1
"ydbA",269
"ydbC",23
"ydbD",9
"ynbA",3
"ynbB",5
"ynbC",14
"ynbD",28
"azoR",100
"hrpA",535
"ydcF",69
"aldA",790
"gapC",573
"cybB",127
"rydC",15
"ydcA",46
"hokB",13
"mokB",0
"sokB",1
"trg",273
"ydcI",198
"ydcJ",12
"opgD",270
"ydcH",21
"rimL",27
"ydcK",24
"tehA",40
"tehB",133
"ydcL",193
"insP",29
"insQ",106
"ydcO",17
"ydcN",12
"ydcP",307
"yncJ",14
"hicA",4
"hicB",28
"ydcR",105
"ydcS",8
"ydcT",9
"ydcU",15
"ydcV",6
"patD",57
"yncL",9
"ydcX",18
"ydcY",71
"ydcZ",81
"mnaT",95
"curA",50
"mcbR",34
"yncD",166
"yncE",1563
"ansP",64
"yncG",10
"yncH",2
"rhsE",9
"ydcD",8
"yncI",3
"ydcC",3
"pptA",4
"yddH",17
"nhoA",36
"yddE",124
"narV",12
"narW",5
"narY",19
"narZ",43
"narU",4
"yddK",4
"yddL",2
"yddG",19
"fdnG",17
"fdnH",11
"fdnI",9
"yddM",25
"adhP",91
"maeA",1043
"sra",58
"bdm",4
"osmC",76
"ddpF",34
"ddpD",5
"ddpC",5
"ddpB",12
"ddpA",6
"ddpX",6
"dosP",102
"dosC",92
"yddW",67
"gadC",45
"gadB",15
"pqqL",107
"yddB",67
"yddA",31
"ydeM",6
"ydeN",23
"ydeO",4
"safA",0
"ydeP",30
"ydeQ",5
"ydeR",2
"ydeS",1
"ydeT",4
"yneL",1
"hipA",69
"hipB",13
"yneO",122
"lsrK",38
"lsrR",38
"lsrA",8
"lsrC",3
"lsrD",10
"lsrB",8
"lsrF",26
"lsrG",3
"tam",33
"yneE",57
"uxaB",10
"yneF",36
"yneG",52
"glsB",79
"sad",83
"yneJ",23
"yneK",7
"ydeA",94
"marC",32
"marR",59
"marA",97
"marB",59
"eamA",164
"ydeE",43
"yneM",47
"mgrR",12
"dgcZ",32
"ydeI",7
"ydeJ",26
"dcp",556
"ydfG",496
"rspR",185
"ydfZ",17
"ydfI",14
"ydfJ",261
"ydfK",0
"pinQ",0
"tfaQ",0
"stfQ",0
"nohQ",0
"ynfO",0
"ydfO",0
"gnsB",0
"ynfN",0
"cspI",0
"rzpQ",0
"rzoQ",0
"rrrQ",0
"ydfR",0
"essQ",0
"cspB",0
"cspF",0
"quuQ",0
"ydfU",0
"rem",0
"hokD",0
"relE",0
"relB",0
"ydfV",0
"flxA",0
"intK",0
"ydfX",0
"dicC",0
"dicA",0
"ydfA",0
"ydfB",0
"ydfC",0
"dicF",0
"dicB",0
"ydfD",0
"ydfE",0
"intQ",0
"rspB",6
"rspA",9
"ynfA",11
"ynfB",124
"speG",152
"ynfC",44
"ynfD",8
"ynfE",35
"ynfF",45
"ynfG",2
"ynfH",31
"dmsD",102
"clcB",32
"ynfK",36
"mlc",190
"ynfL",20
"ynfM",77
"asr",4
"ydgU",2
"ydgD",61
"mdtI",14
"mdtJ",22
"tqsA",76
"pntB",5587
"pntA",5594
"ydgH",610
"ydgI",44
"folM",86
"ydgC",44
"rstA",112
"rstB",150
"tus",65
"fumC",275
"fumA",677
"manA",283
"ydgA",635
"uidC",8
"uidB",9
"uidA",8
"uidR",78
"hdhA",87
"malI",27
"malX",39
"malY",88
"add",129
"ydgJ",308
"blr",16
"cnu",15
"ydgK",80
"rsxA",110
"rsxB",117
"rsxC",356
"rsxD",76
"rsxG",58
"rsxE",54
"nth",70
"dtpA",57
"gstA",194
"pdxY",265
"tyrS",1157
"pdxH",211
"mliC",5
"anmK",84
"slyB",773
"slyA",293
"ydhI",12
"ydhJ",15
"ydhK",42
"sodC",32
"ydhF",83
"ydhL",3
"nemR",20
"nemA",121
"gloA",208
"rnt",112
"lhr",265
"grxD",421
"mepH",96
"sodB",1589
"ydhP",93
"ynhF",19
"purR",560
"ydhB",77
"ydhC",28
"cfa",473
"ribC",177
"mdtK",190
"ydhQ",269
"valV",2
"valW",12
"ydhR",95
"ydhS",38
"ydhT",14
"ydhU",9
"ydhX",3
"ydhW",6
"ydhV",8
"ydhY",0
"ydhZ",10
"pykF",1712
"lpp",9499
"ldtE",124
"sufE",33
"sufS",185
"sufD",248
"sufC",125
"sufB",300
"sufA",39
"rydB",14
"ydiH",48
"menI",262
"ydiJ",1759
"ydiK",160
"rprA",3
"ydiL",2
"ydiM",6
"ydiN",4
"ydiB",3
"aroD",121
"ydiF",10
"ydiO",6
"ydiP",15
"ydiQ",2
"ydiR",8
"ydiS",11
"ydiT",7
"fadK",35
"ppsA",2124
"ppsR",138
"aroH",437
"ydiE",25
"ydiU",295
"ydiV",62
"nlpC",105
"btuD",99
"btuE",101
"btuC",82
"ihfA",960
"pheT",2493
"pheS",1117
"pheM",28
"rplT",5638
"rpmI",4410
"infC",4578
"thrS",3748
"arpB",5
"yniD",0
"ydiY",162
"pfkB",39
"ydiZ",9
"yniA",86
"yniB",65
"yniC",98
"ydjM",6
"ydjN",1587
"ydjO",84
"cedA",16
"katE",166
"chbG",53
"chbF",22
"chbR",14
"chbA",11
"chbC",18
"chbB",29
"osmE",149
"nadE",506
"cho",97
"ves",171
"spy",32
"astE",12
"astB",11
"astD",14
"astA",0
"astC",10
"xthA",209
"ydjX",18
"ydjY",25
"ydjZ",17
"ynjA",23
"ynjB",70
"ynjC",27
"ynjD",26
"ynjE",95
"ynjF",30
"nudG",76
"ynjH",35
"gdhA",5195
"ynjI",226
"topB",580
"selD",599
"ydjA",257
"sppA",434
"ansA",216
"pncA",141
"ydjE",25
"ydjF",28
"ydjG",19
"ydjH",5
"ydjI",10
"ydjJ",6
"ydjK",10
"ydjL",13
"yeaC",232
"msrB",237
"gapA",10011
"yeaD",356
"yeaE",79
"mipA",847
"yeaG",238
"yeaH",59
"yeaI",5
"yeaJ",34
"yeaK",110
"yoaI",13
"yeaL",35
"yeaM",25
"yeaN",20
"yeaO",40
"yoaF",38
