"","x"
"ycjQ",11
"ycjR",6
"ycjS",19
"ycjT",26
"ycjU",3
"ycjV",5
"ompG",4
"ycjW",43
"ycjX",140
"ycjF",126
"tyrR",520
"tpx",3076
"ycjG",202
"mpaA",160
"ymjC",6
"ymjD",0
"ycjY",23
"pgrR",78
"mppA",249
"ynaI",92
"ynaJ",438
"uspE",1060
"fnr",1636
"ogt",61
"abgT",21
"abgB",50
"abgA",28
"abgR",25
"mcaS",2
"smrA",88
"ydaM",155
"ydaN",213
"fnrS",35
"dbpA",78
"ttcA",286
"intR",52
"ydaQ",2
"ydaC",0
"ralA",0
"ralR",1
"recT",32
"recE",42
"racC",0
"ydaE",0
"kilR",0
"sieB",10
"ydaF",0
"ydaG",2
"racR",228
"ydaS",9
"ydaT",6
"ydaU",13
"ydaV",13
"ydaW",9
"rzpR",2
"rzoR",0
"trkG",75
"ynaK",2
"ydaY",9
"tmpR",26
"lomR",16
"stfR",40
"tfaR",1
"pinR",3
"ynaE",1
"ttcC",4
"uspF",241
"ompN",10
"micC",0
"pfo",537
"ydbJ",80
"hslJ",122
"ldhA",305
"ydbH",167
"ynbE",25
"ydbL",40
"feaR",33
"feaB",93
"tynA",27
"paaZ",9
"paaA",3
"paaB",1
"paaC",3
"paaD",13
"paaE",11
"paaF",5
"paaG",18
"paaH",24
"paaI",2
"paaJ",40
"paaK",60
"paaX",80
"paaY",101
"ynbG",0
"ydbA",522
"ydbC",69
"ydbD",17
"ynbA",4
"ynbB",2
"ynbC",21
"ynbD",20
"azoR",158
"hrpA",763
"ydcF",210
"aldA",1535
"gapC",1073
"cybB",196
"rydC",63
"ydcA",38
"hokB",17
"mokB",0
"sokB",2
"trg",481
"ydcI",399
"ydcJ",33
"opgD",424
"ydcH",15
"rimL",56
"ydcK",66
"tehA",66
"tehB",186
"ydcL",390
"insP",39
"insQ",174
"ydcO",22
"ydcN",33
"ydcP",378
"yncJ",10
"hicA",6
"hicB",84
"ydcR",147
"ydcS",34
"ydcT",16
"ydcU",22
"ydcV",22
"patD",160
"yncL",23
"ydcX",13
"ydcY",221
"ydcZ",131
"mnaT",198
"curA",121
"mcbR",21
"yncD",113
"yncE",6074
"ansP",31
"yncG",17
"yncH",0
"rhsE",19
"ydcD",5
"yncI",6
"ydcC",1
"pptA",21
"yddH",19
"nhoA",54
"yddE",149
"narV",10
"narW",11
"narY",31
"narZ",61
"narU",15
"yddK",3
"yddL",1
"yddG",46
"fdnG",33
"fdnH",7
"fdnI",18
"yddM",61
"adhP",206
"maeA",1308
"sra",392
"bdm",29
"osmC",550
"ddpF",127
"ddpD",16
"ddpC",9
"ddpB",7
"ddpA",21
"ddpX",9
"dosP",251
"dosC",271
"yddW",125
"gadC",188
"gadB",59
"pqqL",620
"yddB",541
"yddA",148
"ydeM",8
"ydeN",71
"ydeO",7
"safA",0
"ydeP",42
"ydeQ",1
"ydeR",5
"ydeS",4
"ydeT",6
"yneL",0
"hipA",189
"hipB",30
"yneO",255
"lsrK",62
"lsrR",63
"lsrA",11
"lsrC",8
"lsrD",12
"lsrB",21
"lsrF",36
"lsrG",15
"tam",89
"yneE",91
"uxaB",29
"yneF",33
"yneG",82
"glsB",138
"sad",185
"yneJ",70
"yneK",15
"ydeA",137
"marC",71
"marR",16
"marA",67
"marB",24
"eamA",273
"ydeE",57
"yneM",71
"mgrR",8
"dgcZ",33
"ydeI",16
"ydeJ",38
"dcp",1053
"ydfG",749
"rspR",231
"ydfZ",128
"ydfI",27
"ydfJ",378
"ydfK",0
"pinQ",0
"tfaQ",0
"stfQ",0
"nohQ",0
"ynfO",0
"ydfO",0
"gnsB",0
"ynfN",0
"cspI",0
"rzpQ",0
"rzoQ",0
"rrrQ",0
"ydfR",0
"essQ",0
"cspB",0
"cspF",0
"quuQ",0
"ydfU",0
"rem",0
"hokD",0
"relE",0
"relB",0
"ydfV",0
"flxA",0
"intK",0
"ydfX",0
"dicC",0
"dicA",0
"ydfA",0
"ydfB",0
"ydfC",0
"dicF",0
"dicB",0
"ydfD",0
"ydfE",0
"intQ",0
"rspB",13
"rspA",15
"ynfA",28
"ynfB",299
"speG",327
"ynfC",167
"ynfD",47
"ynfE",114
"ynfF",57
"ynfG",21
"ynfH",36
"dmsD",97
"clcB",31
"ynfK",105
"mlc",229
"ynfL",35
"ynfM",67
"asr",20
"ydgU",0
"ydgD",106
"mdtI",26
"mdtJ",15
"tqsA",73
"pntB",7088
"pntA",8940
"ydgH",1088
"ydgI",26
"folM",106
"ydgC",44
"rstA",289
"rstB",223
"tus",83
"fumC",263
"fumA",423
"manA",487
"ydgA",1366
"uidC",5
"uidB",7
"uidA",9
"uidR",123
"hdhA",431
"malI",46
"malX",51
"malY",183
"add",164
"ydgJ",483
"blr",12
"cnu",82
"ydgK",124
"rsxA",75
"rsxB",81
"rsxC",369
"rsxD",66
"rsxG",70
"rsxE",55
"nth",65
"dtpA",52
"gstA",384
"pdxY",250
"tyrS",1857
"pdxH",285
"mliC",16
"anmK",175
"slyB",1582
"slyA",480
"ydhI",15
"ydhJ",47
"ydhK",80
"sodC",138
"ydhF",243
"ydhL",18
"nemR",26
"nemA",185
"gloA",399
"rnt",129
"lhr",383
"grxD",343
"mepH",157
"sodB",212
"ydhP",122
"ynhF",20
"purR",789
"ydhB",72
"ydhC",29
"cfa",1683
"ribC",469
"mdtK",222
"ydhQ",526
"valV",0
"valW",14
"ydhR",304
"ydhS",124
"ydhT",25
"ydhU",14
"ydhX",14
"ydhW",15
"ydhV",17
"ydhY",11
"ydhZ",25
"pykF",2792
"lpp",19827
"ldtE",572
"sufE",244
"sufS",938
"sufD",1213
"sufC",516
"sufB",1374
"sufA",441
"rydB",28
"ydiH",72
"menI",221
"ydiJ",1639
"ydiK",218
"rprA",2
"ydiL",4
"ydiM",6
"ydiN",8
"ydiB",11
"aroD",265
"ydiF",23
"ydiO",24
"ydiP",44
"ydiQ",3
"ydiR",14
"ydiS",16
"ydiT",1
"fadK",40
"ppsA",2390
"ppsR",345
"aroH",420
"ydiE",68
"ydiU",273
"ydiV",123
"nlpC",236
"btuD",259
"btuE",180
"btuC",88
"ihfA",1246
"pheT",3828
"pheS",1575
"pheM",11
"rplT",5642
"rpmI",6164
"infC",6586
"thrS",7495
"arpB",6
"yniD",3
"ydiY",154
"pfkB",118
"ydiZ",106
"yniA",243
"yniB",101
"yniC",229
"ydjM",10
"ydjN",1534
"ydjO",45
"cedA",14
"katE",851
"chbG",53
"chbF",42
"chbR",46
"chbA",18
"chbC",30
"chbB",34
"osmE",759
"nadE",1255
"cho",147
"ves",187
"spy",52
"astE",13
"astB",29
"astD",25
"astA",20
"astC",44
"xthA",249
"ydjX",38
"ydjY",31
"ydjZ",21
"ynjA",34
"ynjB",102
"ynjC",36
"ynjD",19
"ynjE",162
"ynjF",35
"nudG",187
"ynjH",144
"gdhA",8362
"ynjI",245
"topB",726
"selD",1085
"ydjA",418
"sppA",403
"ansA",319
"pncA",164
"ydjE",28
"ydjF",59
"ydjG",19
"ydjH",14
"ydjI",5
"ydjJ",11
"ydjK",7
"ydjL",16
"yeaC",206
"msrB",368
"gapA",23738
"yeaD",497
"yeaE",84
"mipA",1160
"yeaG",1200
"yeaH",304
"yeaI",3
"yeaJ",29
"yeaK",248
"yoaI",61
"yeaL",32
"yeaM",48
"yeaN",36
"yeaO",100
"yoaF",42
"yeaP",429
"yoaK",33
"yoaJ",8
"yeaQ",388
"yoaG",1
"yeaR",0
"leuE",12
"dmlR",93
"dmlA",56
"yeaV",8
"yeaW",5
"yeaX",24
"rnd",193
"fadD",155
"yeaY",144
"tsaB",223
"yoaA",203
"yoaB",366
"yoaC",73
"yoaH",45
"pabB",186
"nudL",102
"sdaA",128
"yoaD",41
"yoaE",278
"manX",2266
"manY",2060
"manZ",2325
"yobD",44
"mntP",16
"rlmA",91
"cspC",2738
"yobF",402
"yebO",160
"mgrB",55
"yobH",36
"kdgR",456
"yebQ",20
"htpX",684
"prc",2060
"proQ",1950
"msrC",600
"yebS",74
"yebT",286
"rsmF",129
"yebV",125
"yebW",19
"pphA",27
"ryeA",3
"sdsR",0
"yebY",252
"yebZ",343
"yobA",166
"holE",98
"yobB",118
"exoX",181
"ptrB",235
"yebE",73
