"","x"
"pgaC",38
"pgaB",52
"pgaA",99
"ycdT",157
"ymdE",3
"ycdU",11
"serX",0
"ghrA",855
"ycdX",796
"ycdY",585
"ycdZ",186
"csgG",696
"csgF",290
"csgE",407
"csgD",862
"csgB",12
"csgA",80
"csgC",13
"ymdA",28
"ymdB",141
"clsC",261
"opgC",85
"opgG",1952
"opgH",1924
"yceK",795
"msyB",923
"mdtG",51
"lpxL",180
"yceA",594
"yceI",512
"yceJ",38
"yceO",10
"solA",986
"bssS",148
"dinI",166
"pyrC",1493
"yceB",241
"grxB",798
"mdtH",47
"rimJ",476
"yceH",694
"yceM",559
"murJ",201
"flgN",247
"flgM",136
"flgA",68
"flgB",66
"flgC",73
"flgD",223
"flgE",411
"flgF",195
"flgG",174
"flgH",76
"flgI",76
"flgJ",52
"flgK",805
"flgL",995
"rne",4365
"yceQ",312
"rluC",315
"yceF",518
"psrD",103
"yceD",4605
"rpmF",4524
"plsX",2022
"fabH",1890
"fabD",2646
"fabG",4204
"acpP",8556
"fabF",3761
"pabC",141
"yceG",173
"tmk",202
"holB",214
"ycfH",313
"ptsG",4502
"fhuE",3780
"hinT",501
"ycfL",472
"lpoB",892
"thiK",234
"nagZ",431
"ycfP",584
"ndh",1418
"ycfJ",50
"ycfQ",168
"bhsA",81
"ldtC",107
"mfd",1314
"ycfT",11
"lolC",446
"lolD",348
"lolE",599
"nagK",634
"cobB",454
"ycfZ",22
"ymfA",23
"potD",3218
"potC",253
"potB",323
"potA",600
"pepT",857
"roxA",907
"phoQ",696
"phoP",877
"purB",1994
"hflD",460
"mnmA",799
"nudJ",101
"rluE",108
"icd",35800
"ymfD",22
"ymfE",17
"lit",68
"intE",42
"xisE",8
"ymfI",123
"ymfJ",46
"cohE",229
"croE",4
"ymfL",7
"ymfM",9
"oweE",7
"aaaE",21
"ymfR",0
"beeE",2
"jayE",1
"ymfQ",8
"stfP",6
"tfaP",8
"tfaE",16
"stfE",2
"pinE",6
"mcrA",75
"icdC",6
"iraM",15
"ycgX",4
"bluR",436
"bluF",156
"ycgZ",25
"ymgA",29
"ariR",29
"ymgC",10
"ycgG",31
"ymgF",2
"ycgH",101
"ymgD",47
"ymgG",62
"ymgI",0
"ymgJ",3
"ycgI",12
"minE",876
"minD",2429
"minC",1205
"ycgJ",221
"pliG",2764
"ycgL",301
"ycgM",638
"ycgN",245
"hlyE",10
"umuD",27
"umuC",59
"dsbB",301
"nhaB",767
"fadR",285
"ycgB",687
"dadA",373
"dadX",276
"cvrA",303
"ldcA",246
"emtA",409
"ycgR",787
"ymgE",75
"ycgY",13
"treA",120
"dhaM",656
"dhaL",189
"dhaK",318
"dhaR",151
"ycgV",125
"ychF",823
"pth",139
"ychH",113
"dauA",155
"prs",3247
"ispE",563
"lolB",414
"hemA",340
"prfA",318
"prmC",129
"ychQ",23
"ychA",493
"kdsA",1449
"ldrA",0
"rdlA",29
"ldrB",8
"rdlB",0
"ldrC",0
"rdlC",3
"chaA",607
"chaB",63
"chaC",321
"ychN",263
"ychO",186
"narL",568
"narX",260
"narK",18
"narG",99
"narH",55
"narJ",33
"narI",29
"rttR",15
"tpr",0
"tyrV",51
"tyrT",46
"purU",1179
"ychJ",212
"rssA",449
"rssB",398
"galU",1818
"hns",2549
"tdk",208
"insZ",44
"adhE",12888
"ychE",57
"oppA",35582
"oppB",2061
"oppC",1472
"oppD",1959
"oppF",2138
"yciU",371
"clsA",932
"yciY",114
"kch",218
"yciI",713
"tonB",1847
"yciA",93
"yciB",234
"yciC",213
"ompW",144
"yciE",134
"yciF",124
"yciG",70
"trpA",2527
"trpB",3466
"trpC",2281
"trpD",2508
"trpE",2326
"trpL",18
"yciV",188
"yciO",321
"yciQ",179
"rluB",332
"btuR",209
"yciK",280
"sohB",1112
"yciN",195
"topA",2775
"cysB",712
"ymiA",19
"yciX",97
"acnA",1443
"ribA",375
"pgpB",150
"yciS",179
"yciM",360
"pyrF",222
"yciH",126
"osmB",162
"yciT",412
"yciZ",49
"gmr",429
"ymiB",8
"rnb",1919
"yciW",234
"fabI",4123
"ycjD",20
"sapF",168
"sapD",264
"sapC",100
"sapB",132
"sapA",285
"ymjA",64
"puuP",147
"puuA",413
"puuD",106
"puuR",151
"puuC",174
"puuB",112
"puuE",85
"pspF",93
"pspA",228
"pspB",37
"pspC",62
"pspD",40
"pspE",128
"ycjM",10
"ycjN",10
"ycjO",9
"ycjP",3
"ycjQ",23
"ycjR",18
"ycjS",28
"ycjT",38
"ycjU",5
"ycjV",21
"ompG",8
"ycjW",82
"ycjX",147
"ycjF",101
"tyrR",856
"tpx",6061
"ycjG",302
"mpaA",259
"ymjC",9
"ymjD",2
"ycjY",37
"pgrR",121
"mppA",390
"ynaI",159
"ynaJ",654
"uspE",1955
"fnr",2125
"ogt",93
"abgT",31
"abgB",50
"abgA",26
"abgR",32
"mcaS",5
