"","x"
"sucA",5707
"sucB",4068
"sucC",3845
"sucD",3412
"mngR",54
"mngA",6
"mngB",49
"cydA",1074
"cydB",718
"cydX",73
"ybgE",161
"ybgC",135
"tolQ",352
"tolR",159
"tolA",476
"tolB",2100
"pal",4036
"ybgF",1557
"lysT",192
"valT",348
"lysW",184
"valZ",158
"lysY",61
"lysZ",52
"lysQ",19
"nadA",666
"pnuC",497
"zitB",146
"ybgS",77
"aroG",3584
"gpmA",7162
"galM",933
"galK",362
"galT",253
"galE",269
"modF",965
"modE",146
"acrZ",56
"modA",600
"modB",399
"modC",592
"ybhA",127
"pgl",874
"ybhD",37
"ybhH",4
"ybhI",2
"ybhJ",27
"ybhC",660
"ybhB",152
"bioA",166
"bioB",226
"bioF",185
"bioC",92
"bioD",70
"uvrB",480
"ybhK",203
"moaA",303
"moaB",258
"moaC",327
"moaD",83
"moaE",305
"ybhL",277
"ybhM",13
"ybhN",65
"clsB",143
"ybhP",85
"ybhQ",30
"ybhR",57
"ybhS",89
"ybhF",362
"ybhG",214
"ybiH",67
"rhlE",276
"ybiA",16
"dinG",155
"ybiB",466
"ybiC",1366
"ybiJ",104
"ybiI",291
"ybiX",1715
"fiu",16022
"mcbA",17
"rlmF",132
"ybiO",92
"glnQ",447
"glnP",357
"glnH",1232
"dps",2695
"rhtA",31
"ompX",5197
"opgE",104
"mntS",157
"mntR",150
"ybiR",170
"ldtB",879
"ybiT",788
"ybiU",164
"ybiV",124
"ybiW",43
"ybiY",14
"fsaA",54
"moeB",205
"moeA",359
"iaaA",735
"gsiA",1365
"gsiB",934
"gsiC",339
"gsiD",217
"yliE",87
"yliF",50
"rimO",250
"bssR",28
"yliI",43
"gstB",617
"dacC",472
"deoR",202
"ybjG",146
"mdfA",79
"ybjH",54
"ybjI",154
"ybjJ",106
"rcdA",20
"rybB",4
"ybjL",240
"ybjM",30
"grxA",29
"ybjC",23
"nfsA",241
"rimK",202
"ybjN",129
"potF",609
"potG",342
"potH",160
"potI",129
"ybjO",45
"rlmC",122
"artJ",511
"artM",217
"artQ",182
"artI",392
"artP",215
"ybjP",193
"ybjQ",118
"amiD",292
"ybjS",217
"ybjT",484
"ltaE",532
"poxB",748
"hcr",23
"hcp",8
"ybjE",98
"aqpZ",35
"ybjD",336
"ybjX",638
"macA",255
"macB",285
"cspD",498
"clpS",247
"clpA",9528
"serW",2
"infA",628
"aat",151
"cydC",358
"cydD",300
"trxB",1204
"lrp",2130
"ftsK",1883
"lolA",423
"rarA",432
"serS",2260
"dmsA",23
"dmsB",4
"dmsC",36
"ycaC",108
"ycaD",111
"ycaM",16
"ycaN",25
"ycaK",17
"pflA",124
"pflB",7841
"focA",217
"ycaO",508
"ycaP",54
"serC",7173
"aroA",3357
"ycaL",53
"cmk",318
"rpsA",20956
"ihfB",1493
"ycaI",56
"msbA",730
"lpxK",262
"ycaQ",63
"ycaR",53
"kdsB",525
"ycbJ",55
"elyC",49
"smtA",205
"mukF",547
"mukE",395
"mukB",2675
"ldtD",699
"ycbK",665
"ycbL",865
"aspC",4157
"ompF",33064
"asnS",2794
"pncB",1313
"pepN",2355
"ssuB",62
"ssuC",2
"ssuD",19
"ssuA",11
"ssuE",6
"elfA",9
"elfD",4
"elfC",28
"elfG",35
"ycbU",13
"ycbV",5
"ycbF",31
"pyrD",205
"zapC",175
"ycbX",391
"rlmL",481
"uup",486
"pqiA",124
"pqiB",160
"pqiC",76
"rmf",1662
"fabA",1359
"ycbZ",629
"matP",63
"ompA",58172
"sulA",112
"sxy",51
"yccS",257
"yccF",60
"helD",518
"mgsA",318
"yccT",16
